Label	EntryID	Published	Tweet(Title)	FavouriteCount	Geo	Source	AuthorName	AuthorURL	Language	Retweets	Timezone(blank)	UserFavourites	UserFollowers	UserTweets	UserFollowing
pingdemic	1420835713625563136	Thu Jul 29 19:56:46 +0000 2021	Just asked my 6 year old to do bedtime prayers and I have no idea how this even popped into her head but she started with, 'Dear God thank you for not letting us get the pingdemic" 😂😂😂	3		Twitter for Android	June Angelides MBE 🇬🇧🇳🇬🇸🇱	JuneAngelides	en	0		18364	8090	10196	5825
pingdemic	1420835664527085568	Thu Jul 29 19:56:34 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for Android	Wulf 🍀🎗️🇵🇸🇸🇾🇨🇺 Esperança, Dever, Amor	Wulf_9	en	267		380507	4195	222713	4012
pingdemic	1420835358913318656	Thu Jul 29 19:55:22 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for Android	AI	johnnycage2013	en	267		21461	338	17189	910
pingdemic	1420835336222126336	Thu Jul 29 19:55:16 +0000 2021	‘Don’t ask me! I don’t know why Boris does many of the things he does, and I’m not sure he does’  Nigel Farage speaks about the ‘pingdemic’ saying ‘I personally have never put that app on my phone’ https://t.co/0gDfHBekuM	157		Twitter Web App	Eggy	Eggys0ul	en	29		182067	1517	162150	5002
pingdemic	1420835318748561408	Thu Jul 29 19:55:12 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter Web App	Martian Lobotomy	MartianLobotomy	en	267		158848	4590	206418	4966
pingdemic	1420835208685924352	Thu Jul 29 19:54:46 +0000 2021	"Only 13% of Covid test centres for critical workers are open, No 10 admits  Downing Street says 265 sites out of a targeted 2,000 have been established, amid ‘pingdemic’ fears"  Too little too late. Always. It's the Tory way. https://t.co/xddNPs7KQ7	18		Twitter for Android	Cait Murray	murraycait	en	12		7708	546	50188	825
pingdemic	1420835181490024448	Thu Jul 29 19:54:39 +0000 2021	'Pingdemic' grips Britain as fears of food shortages grow https://t.co/1dkMQfIjZU  #Britain #Pingdemic #Pandemic #COVID19 #Coronavirus https://t.co/Tfc9RWIi1n	0		Twitter for Android	William Onia	onia_william	en	6		8	1	3475	38
pingdemic	1420834948374728704	Thu Jul 29 19:53:44 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter Web App	Lance G Jackson #GutterProletariatMalcontent	lancethebass	en	434		12221	2210	10019	2447
pingdemic	1420834900689752064	Thu Jul 29 19:53:32 +0000 2021	'Pingdemic' grips Britain as fears of food shortages grow https://t.co/YEzjSq30pP  #Britain #Pingdemic #Pandemic #COVID19 #coronavirus https://t.co/sBIYmk9bxC	0		Twitter for Android	William Onia	onia_william	en	6		8	1	3475	38
pingdemic	1420834888207544320	Thu Jul 29 19:53:29 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for Android	Debidoodoo	debidoodoos	en	267		10779	147	2823	243
pingdemic	1420834855600987904	Thu Jul 29 19:53:22 +0000 2021	RT @ThatTimWalker: Brexit must share blame for empty supermarket shelves https://t.co/RZc77dj3MZ	415		Twitter for iPhone	Roberta Buchan #EU #SNP 🇪🇺🏴󠁧󠁢󠁳󠁣󠁴󠁿	RobertaBuchan1	en	115		78123	2381	90365	3356
pingdemic	1420834714265350144	Thu Jul 29 19:52:48 +0000 2021	JUST IN - Record 689,313 #pingdemic alerts were sent to users of the #COVID19 app, telling them to isolate and stay at home in England and Wales in a week, according to NHS figures.	802		Twitter for Android	Sunny Days 🌞	SunnyDays024	en	319		293740	7210	194599	7656
pingdemic	1420834670040829952	Thu Jul 29 19:52:37 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for Android	Andy	redandgreenmen	en	434		60537	524	8744	846
pingdemic	1420834633365790720	Thu Jul 29 19:52:29 +0000 2021	And who’s thick? The issue here is about ‘pingdemic’ with critical workers being forced to isolate - so no deliveries.... nothing to do with Brexit! https://t.co/otPnvChj7C	24		Twitter for iPhone	ianTluminateV2019@	IanV2019	en	0		49429	177	19570	182
pingdemic	1420834500502773504	Thu Jul 29 19:51:57 +0000 2021	RT @matandbec: The word #pingdemic is just a bit rubbish. It trivialises the seriousness of current situation. There I've said it	38		Twitter for Android	Kanza	ChallengeKanza	en	4		25046	354	3913	786
pingdemic	1420834488469397504	Thu Jul 29 19:51:54 +0000 2021	Covid-19: Nearly 700,000 told to isolate as ‘pingdemic’ grows - The Times and The Sunday Times https://t.co/e0CmCqz5Va	0		Twitter for iPhone	Katia McKenzie	kmckenzie31	en	0		9422	1345	9757	1339
pingdemic	1420834444479500288	Thu Jul 29 19:51:44 +0000 2021	FGS Stop this madness! ⁦@BorisJohnson⁩ ⁦@10DowningStreet⁩ ⁦@sajidjavid⁩ COVID-19: 'Pingdemic' record numbers as 689,313 alerts sent from NHS app in a week in England and Wales https://t.co/gfVaJpeOwq https://t.co/HYITrC5giI	0		Twitter for iPad	Pam Spreckers	pamsprex	en	0		10383	950	14967	1298
pingdemic	1420834431913406464	Thu Jul 29 19:51:41 +0000 2021	@GBNEWS Your guest expert suggested that the pingdemic could be the reason cases are falling.    For that to be true a large number of those that were pinged would need to be subsequently infected. How many were?  The ping app seems to have a higher R rate than the virus.	0		Twitter for iPhone	Sri	srimpey	en	0		393	27	1849	138
pingdemic	1420834429543534592	Thu Jul 29 19:51:40 +0000 2021	Scientists have blamed the recent drop in Covid cases on: Euros ending, decrease in testing, holidays abroad, school closures, heatwave and the ‘Pingdemic’.   They are running out of excuses to keep the country terrified.	1649		Twitter for Android	Chris J	ChrisJ36844106	en	204		899	13	528	44
pingdemic	1420834350728421120	Thu Jul 29 19:51:21 +0000 2021	Scientists have blamed the recent drop in Covid cases on: Euros ending, decrease in testing, holidays abroad, school closures, heatwave and the ‘Pingdemic’.   They are running out of excuses to keep the country terrified.	1649		Twitter Web App	Stephen Blair	jrnysteve39	en	204		2042	11	774	26
pingdemic	1420834192699510784	Thu Jul 29 19:50:44 +0000 2021	UK festivals could be cancelled as so-called “Pingdemic” continues https://t.co/5P9fOXQGLM	0		WordPress.com	192kb.com	192kbcom	en	0		150	229	93755	255
pingdemic	1420834073153507328	Thu Jul 29 19:50:15 +0000 2021	Thousands of lorry drivers were chased out of the UK because of #Brexit and the xenophobia that came with it, we now have empty supermarkets, but it's not Brexit, it's the pingdemic, yet shelves in the EU are full, we're being lied to, stop believing the lying bastards..	2926		Twitter for Android	Trevor Sheppard	TrevorSheppard4	en	1004		28376	98	17033	876
pingdemic	1420834015150579456	Thu Jul 29 19:50:01 +0000 2021	Hospitality staff are under extreme pressure at the moment due to huge staff shortages across the UK.  A perfect storm of pingdemic, Brexit, leaving the industry.  Many are working extra long hours to cover shifts, so please bear with them and anticipate slightly slower service.	1202		Twitter for iPhone	Kelly	kellyfish123	en	183		7594	274	7152	367
pingdemic	1420833981487009792	Thu Jul 29 19:49:53 +0000 2021	So the “pingdemic” will end on Aug 16th.  Can we have assurances from @Conservatives, @ScotTories &amp; all the Brexshit deniers that our shelves will suddenly be full of produce &amp; there will be no staffing shortages after thst magical date?  Or you simply all fūçking liars?	63		Twitter for Android	Frank Davies	frank3davies	en	26		234408	2856	177004	4058
pingdemic	1420833875656429568	Thu Jul 29 19:49:28 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for Android	Andrew Sweet	AndrewSweet3	en	434		4716	247	1385	743
pingdemic	1420833858648424448	Thu Jul 29 19:49:24 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for Android	Karen Arnold UBI NOW	notniceoldwoman	en	434		14037	137	7560	278
pingdemic	1420833820044103936	Thu Jul 29 19:49:15 +0000 2021	A summer of discontent is upon us, but autumn will provide the real wake-up call, when the true cost of this pandemic, and the failure to manage it, becomes apparent | Jane Thomas  @CampaignJane @SDupp @BylineTimes #pandemic #CovidIsNotOver  https://t.co/Ce2zRVJY95	197		Twitter for iPhone	Alex Burrows	alexcburrows	en	101		109929	3833	142854	2400
pingdemic	1420833775500595200	Thu Jul 29 19:49:04 +0000 2021	Falling COVID case numbers allows UK to cancel the pingdemic by changing the system. The forecast strong economic recovery needs people who are not ill to be able to go to work.	1186		Twitter for Android	Richard Ward	Richard80221907	en	219		4155	13	2264	75
pingdemic	1420833665458782208	Thu Jul 29 19:48:38 +0000 2021	Just 260 testing sites up and running of 2,000 planned to end pingdemic https://t.co/r3iPVkTFQD	0		Twitter for iPhone	JP	JLP131	en	0		63289	1195	86116	1886
pingdemic	1420833638107820032	Thu Jul 29 19:48:31 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for iPad	John Ross	JohnRoss43	en	434		126	13074	85864	3533
pingdemic	1420833618348417024	Thu Jul 29 19:48:27 +0000 2021	RT @headlines24_7: 'Pingdemic' record numbers as 689,313 alerts sent from NHS app in a week Source @SkyNews VIA @headlines24_7	3		Twitter for Android	Sally Fereday CFIRM	SallyFereday	en	5		429220	6317	40971	498
pingdemic	1420833588749250304	Thu Jul 29 19:48:20 +0000 2021	RT @Daily_Record: There are fears nurseries across Scotland could close after being left short-handed. https://t.co/kxfC0ROqXB	0		Twitter Web App	Little Flyers Childcare	LittleFlyers2	en	1		129	84	112	307
pingdemic	1420833179779338240	Thu Jul 29 19:46:42 +0000 2021	So the “pingdemic” will end on Aug 16th.  Can we have assurances from @Conservatives, @ScotTories &amp; all the Brexshit deniers that our shelves will suddenly be full of produce &amp; there will be no staffing shortages after thst magical date?  Or you simply all fūçking liars?	63		Twitter for iPhone	DC 🏴󠁧󠁢󠁳󠁣󠁴󠁿 🇪🇺 🇸🇻 ₿ 🖖	scotshodler	en	26		30470	1192	12277	4986
pingdemic	1420833160691126272	Thu Jul 29 19:46:37 +0000 2021	@michaelgove  You failed us on Brexit, you lied about Brexit, you forced Brexit on top of Covid upon us. Brexit has been a catastrophic failure causing food &amp; med shortages, none of your PINGdemic matey, that has nothing to do with it. Then there was Portugal, YOU WERE PINGED 1/ https://t.co/3VZyR3e3hG	50		Twitter for Android	💜Jacqui B🌹Ex Labour💙LOVENHS❤️#GetCorbynBack✊🌹	jacqui703	en	4		274735	17575	463398	11077
pingdemic	1420833069196529664	Thu Jul 29 19:46:16 +0000 2021	@deelomas Hi Dee, twisted logic that beggars belief. It doesn’t help that they promised 2000 testing centres but this is the result.   https://t.co/Hge9oOgU1w	0		Twitter for iPhone	Calimocho 🏴󠁧󠁢󠁷󠁬󠁳󠁿🌼🐉	Calimocho14	en	0		58269	5016	26968	5067
pingdemic	1420833064305971200	Thu Jul 29 19:46:14 +0000 2021	Pingdemic? Millions of fit and healthy folks and kids sat at home coz the digital slavery network they are building is working .Vaxx passports all part of the digital enslavement too.JUST THE WAY THEY PLANNED IT!	7550		Twitter for iPad	OftheFamilyHuman 🌸 #Take off your mask	redpilledproud	en	1855		115191	963	90598	1348
pingdemic	1420833054621307136	Thu Jul 29 19:46:12 +0000 2021	‘Don’t ask me! I don’t know why Boris does many of the things he does, and I’m not sure he does’  Nigel Farage speaks about the ‘pingdemic’ saying ‘I personally have never put that app on my phone’ https://t.co/0gDfHBekuM	157		Twitter for iPhone	Andrew Ivey	tellingitstr8	en	29		181988	892	62888	652
pingdemic	1420833035428237056	Thu Jul 29 19:46:08 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for iPhone	DERM0	DERM0	en	434		3006	98	5029	172
pingdemic	1420832988649201664	Thu Jul 29 19:45:56 +0000 2021	The problem is not the pingdemic, it's the pandemic. Not the dinghies, it's the yachts. Not the jobseekers, it's the tax avoiders. Not the public, not Jeremy Corbyn, not Meghan Markle, not ungrateful lefties. It's the Tories.	1199		Twitter for Android	Dr Anamarija Horvat	anam_horvat	en	434		948	305	193	309
pingdemic	1420832783430258688	Thu Jul 29 19:45:08 +0000 2021	@Charlyf_81 It's the pingdemic, but never let the truth get in the way 😉	0		Twitter for Android	Bill Heywood	heywoodbill	en	0		51325	557	53432	1715
pingdemic	1420832687774961664	Thu Jul 29 19:44:45 +0000 2021	RT @ThatTimWalker: Brexit must share blame for empty supermarket shelves https://t.co/RZc77dj3MZ	415		Twitter for Android	Rainbow Warrior 💙#IAmEuropean #GTTO #FBPE 🇪🇺 🍥	SandraDunn1955	en	115		149257	17571	886412	14070
pingdemic	1420832582053384192	Thu Jul 29 19:44:20 +0000 2021	RT @annamorriscomic: Whoever came up with this is genius. #pingdemic https://t.co/irLan1w2WV	317		Twitter for iPhone	snoms 🏳️‍🌈❄️🦊	SnomsFox	en	101		1082	59	658	147
pingdemic	1420832331343007744	Thu Jul 29 19:43:20 +0000 2021	@michaelgove  You failed us on Brexit, you lied about Brexit, you forced Brexit on top of Covid upon us. Brexit has been a catastrophic failure causing food &amp; med shortages, none of your PINGdemic matey, that has nothing to do with it. Then there was Portugal, YOU WERE PINGED 1/ https://t.co/3VZyR3e3hG	50		Twitter for Android	Julie Young #Socialist #CorbynMyHero	jly1960	en	4		137675	4951	191384	5236
pingdemic	1420832262980087808	Thu Jul 29 19:43:03 +0000 2021	‘Don’t ask me! I don’t know why Boris does many of the things he does, and I’m not sure he does’  Nigel Farage speaks about the ‘pingdemic’ saying ‘I personally have never put that app on my phone’ https://t.co/0gDfHBekuM	157		Twitter for iPhone	#PMBorisJohnson Brexit + 80 majority- Dom Cummings	BeeAHoney_	en	29		90771	7625	415935	7133
pingdemic	1420832218352693248	Thu Jul 29 19:42:53 +0000 2021	‘Don’t ask me! I don’t know why Boris does many of the things he does, and I’m not sure he does’  Nigel Farage speaks about the ‘pingdemic’ saying ‘I personally have never put that app on my phone’ https://t.co/0gDfHBekuM	157		Twitter for iPhone	Craig Peggie	peggieboy73	en	29		98089	585	26372	693
pingdemic	1420832193505529856	Thu Jul 29 19:42:47 +0000 2021	NO @BorisJohnson Grow a pair and say no   Jabs for jobs is down to individual companies, says No 10  https://t.co/fS00yvufIB	5		Twitter for iPhone	Wendy Essery🌸🌸🌸	WendyEssery	en	3		19266	269	49694	210
pingdemic	1420831831369339136	Thu Jul 29 19:41:21 +0000 2021	Britain’s refund lottery: To book or not to book? Which? highlights pings and arrows of financial misfortune https://t.co/SAuBmRw4Xc	0		Echobox	Independent Premium	indypremium	en	0		0	3773	36057	1
pingdemic	1420831825384124416	Thu Jul 29 19:41:19 +0000 2021	RT @Hepworthclare: Brexit must share blame for empty supermarket shelves https://t.co/xHxZNge7jf	87		Twitter Web App	PhyllisStein2	PhyllisStein2	en	66		55069	1751	120952	2175
pingdemic	1420831790953111552	Thu Jul 29 19:41:11 +0000 2021	@michaelgove  You failed us on Brexit, you lied about Brexit, you forced Brexit on top of Covid upon us. Brexit has been a catastrophic failure causing food &amp; med shortages, none of your PINGdemic matey, that has nothing to do with it. Then there was Portugal, YOU WERE PINGED 1/ https://t.co/3VZyR3e3hG	50		Twitter for iPad	Brendan Hynes	Hyvast	en	4		35022	11301	96031	11176
pingdemic	1420831755204968448	Thu Jul 29 19:41:02 +0000 2021	‘A Convenient Scapegoat’: Empty Shelves are due to Brexit Not the Pingdemic   It’s no #coincidence that the so called #pingdemic strikes as Johnson wants all restrictions gone  #CovidIsNotOver   https://t.co/aUbI2UOoUH	271		Twitter for Android	Saira⭐😷🏴󠁧󠁢󠁷󠁬󠁳󠁿🇵🇸	WelshBrummie1	en	115		5418	133	5089	819
pingdemic	1420831733893771264	Thu Jul 29 19:40:57 +0000 2021	SkyNews: 'Pingdemic' record numbers as 689,313 alerts sent from NHS app in a week in England &amp; Wales.  With respect, @SkyNews, shut the f*ck up with your 'pingdemic'. There's a serious pandemic running out of control in the UK as a result of #ToryCovid mismanagement.	3		Twitter Web App	Danceywoman	jazzaoxon	en	2		262216	3674	302285	4904
pingdemic	1420831615157248000	Thu Jul 29 19:40:29 +0000 2021	@BernieSpofforth @Nocorruptjudges where did you get that number from? I can only find this...  https://t.co/NfN3io5n0U	1		Twitter Web App	Rash	Rash12198108	en	0		72	358	138	599
pingdemic	1420831572786360320	Thu Jul 29 19:40:19 +0000 2021	RT @dianehain: Only 13% of Covid test centres for critical workers are open, No 10 admits https://t.co/TImK55xZSr	4		Twitter for iPhone	Rep in the Regions	PCS_GONW_Branch	en	3		17915	866	35370	1171
pingdemic	1420831555849756672	Thu Jul 29 19:40:15 +0000 2021	RT @Hepworthclare: Brexit must share blame for empty supermarket shelves https://t.co/xHxZNge7jf	87		Twitter Web App	Eddy Ventolera	atm0spheric	en	66		42164	764	163106	343
pingdemic	1420831494403198976	Thu Jul 29 19:40:00 +0000 2021	REPLY @Laura__Fox "reduced coronavirus testing and the impact of the "pingdemic" could be behind the "suspicious" drop in the number of daily cases recorded by the government."  https://t.co/EHqVnLXVSQ	1		Twitter for Android	Aged Human	Laura__Fox	en	0		89319	4002	116057	4999
pingdemic	1420831341206200320	Thu Jul 29 19:39:24 +0000 2021	It's quite odd the way that people cheer the fall in cases but boo the "pingdemic" when it surely seems more likely that they're cause and effect https://t.co/F3RKOU7WjW	32		Tweetbot for iΟS	Tom	zenithedtom	en	9		12229	472	22551	557
pingdemic	1420831127338639104	Thu Jul 29 19:38:33 +0000 2021	Nearing herd immunity ,pandemic over ,JVT bumpy road ahead .scientists warn third wave not over .Govt says get back t work ,pingdemic new record No shit sherlock  Only 13% of Covid test centres for critical workers are open, No 10 admits https://t.co/K0B1UtGc77	1		Twitter Web App	truthshamesthe6	truthshamesthe6	en	1		19134	594	11443	721
pingdemic	1420831017993216000	Thu Jul 29 19:38:07 +0000 2021	@Marktil1968 @EclJonnie @PaulEmbery I think you’ll find even gammon newspapers have been reporting it  https://t.co/LfNGV0sTCH	1		Twitter for iPhone	Hugo Furst	HugoFurst5	en	1		376	17	286	84
pingdemic	1420830980135342336	Thu Jul 29 19:37:58 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for Android	Iwillmakeit2success	makeit2success	en	267		13742	103	10868	147
pingdemic	1420830824279248896	Thu Jul 29 19:37:20 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter for iPhone	Cheryl Grainger 😊	CherylGrainger4	en	267		45	301	11037	236
pingdemic	1420830817673269248	Thu Jul 29 19:37:19 +0000 2021	@DaWNd58 @JackieBear1872 @Weird_an_Random @ThatTimWalker @RhonddaBryant In fairness Dawn, this whole thread started with blaming supermarket shortages from the ‘Pingdemic’ on Brexit. Maybe Remainers calling Brexiteers “thick” is a part of why the Tories currently have an 80 seat majority.	0		Twitter for iPhone	Tolley	Jordantolley91	en	0		4708	176	5725	718
pingdemic	1420830647078244352	Thu Jul 29 19:36:38 +0000 2021	Would the UK government go so far as to use the contrived #Pingdemic to engineer a #food shortage in order to destabilise society, perhaps as a pretext for more brutal lockdowns in the coming months, ie. curfews, police &amp; military checkpoints, vaccine passport barriers etc?	764		Twitter Web App	Doge Pacino	DogePacino	en	267		600	140	491	119
